ID,LvlSpr,02-May,01-May,30-Apr,29-Apr,28-Apr,27-Apr,26-Apr,25-Apr,24-Apr,23-Apr,22-Apr,21-Apr,20-Apr,19-Apr,18-Apr,17-Apr,16-Apr,15-Apr,14-Apr,13-Apr,12-Apr,11-Apr,10-Apr,09-Apr,08-Apr,07-Apr,06-Apr,05-Apr,04-Apr,03-Apr,02-Apr,01-Apr,31-Mar,30-Mar,29-Mar,28-Mar,27-Mar,26-Mar,25-Mar,24-Mar,23-Mar,22-Mar,21-Mar,20-Mar,19-Mar,18-Mar,17-Mar,16-Mar,15-Mar,14-Mar,13-Mar,12-Mar,11-Mar,10-Mar,09-Mar,08-Mar,07-Mar,06-Mar,05-Mar,04-Mar,03-Mar,02-Mar,01-Mar,28-Feb,27-Feb,26-Feb,25-Feb,24-Feb,23-Feb,22-Feb,21-Feb,20-Feb,19-Feb,18-Feb,17-Feb,16-Feb,15-Feb,14-Feb,13-Feb,12-Feb,11-Feb,10-Feb,09-Feb,08-Feb,07-Feb
33,Lvl,24,18,26,16,14,15,31,19,38,32,15,14,19,13,21,33,18,14,12,16,20,14,20,14,16,14,14,23,13,14,21,18,32,17,13,15,15,12,14,18,33,27,13,18,28,34,37,22,30,13,12,27,14,27,13,14,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Spr,18,17,15,14,7,12,16,17,16,18,12,12,16,6,15,15,14,13,5,14,13,11,14,5,16,8,14,16,21,11,18,14,15,12,4,17,7,7,15,12,18,17,13,12,18,16,16,11,17,7,21,16,15,13,10,6,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Lvl,19,17,18,18,18,18,20,17,18,16,20,18,17,17,18,15,15,19,17,20,16,31,15,14,14,16,14,16,16,14,16,15,18,16,13,15,15,13,13,15,14,17,19,17,24,15,18,14,16,15,17,31,16,22,16,15,17,21,17,17,19,23,14,17,16,18,16,16,17,19,16,15,16,16,16,17,18,,19,17,18,,,,
34,Spr,5,4,14,5,7,6,9,5,8,8,10,8,5,6,4,6,6,8,16,7,3,19,4,8,21,6,4,23,7,3,5,8,8,5,8,4,12,4,8,10,6,8,4,10,13,11,7,5,13,5,11,19,12,10,7,4,18,6,11,5,13,9,11,5,5,20,9,5,12,7,10,5,5,22,23,4,5,,10,4,17,,,,
35,Lvl,11,10,10,10,10,10,10,10,11,10,11,11,11,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,
35,Spr,7,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,3,4,3,3,3,5,3,3,3,3,6,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
36,Lvl,19,20,20,18,18,18,19,18,19,19,19,20,19,19,20,20,21,21,21,25,25,24,25,30,26,25,27,25,25,26,26,27,24,28,27,30,28,28,27,27,28,29,31,29,31,33,28,27,32,28,23,25,24,23,25,24,26,18,20,26,27,25,26,30,30,31,30,31,32,31,,25,26,28,27,27,,,,,,,,,
36,Spr,5,5,7,5,7,5,6,6,5,5,8,6,5,5,8,5,5,6,6,6,5,5,6,8,5,7,6,6,5,7,6,6,15,8,7,6,7,7,6,7,7,8,9,7,8,9,12,7,8,7,8,7,8,6,9,7,7,8,6,6,6,8,6,6,10,9,8,8,8,8,,8,7,6,5,7,,,,,,,,,
37,Lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Spr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Lvl,11,11,11,11,11,11,11,11,12,11,12,12,11,11,11,12,11,11,11,11,11,11,12,12,11,11,12,12,12,11,12,11,13,12,12,12,13,12,14,14,13,11,11,11,11,11,12,11,11,11,10,11,11,13,10,11,10,12,10,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,,
38,Spr,8,5,10,4,14,5,8,4,7,6,14,13,14,6,4,8,4,13,4,9,14,10,8,6,5,16,8,13,8,6,11,6,14,16,5,4,6,5,8,8,8,6,4,10,8,9,14,5,16,11,6,4,11,20,4,4,3,5,3,6,24,10,13,10,3,4,13,10,6,4,17,5,,,,,,,,,,,,,
39,Lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Spr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Spr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19,15,24,14,14,19,17,11,0,0,0,,0,0,11,10,10,10,10,11,10,11,10,10,10,10,11,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Spr,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,6,8,10,6,16,4,4,0,0,0,,0,0,13,9,8,7,16,18,12,20,8,11,3,15,23,11,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Lvl,23,23,23,24,26,24,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Spr,15,18,17,18,15,17,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Lvl,18,14,16,19,16,14,22,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Spr,7,7,7,10,8,8,10,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Lvl,17,15,15,15,16,16,17,17,17,16,16,16,16,16,16,17,15,16,16,17,15,16,16,15,15,16,16,18,20,22,16,15,22,18,15,15,15,15,16,16,17,16,16,16,16,17,19,19,17,19,22,20,20,22,18,18,19,23,15,15,16,22,15,16,16,15,16,17,17,17,19,21,21,21,20,21,23,,20,17,18,13,,,
